ID,sequence,treatment,aphLength,aphWidth,aphSize,propOnL,propOffL,propSOL,totalDisp,totalRotation,averageVelocity,Green,Blue,UV,R.pwm,G.pwm,B.pwm,U.pwm
131,3LEDid13,15,3.431954138,1.913878572,20.82459744,0.390929327,0.609070673,0.190873678,24.42115735,0.504241694,0.017007377,6.581061792,5.521093551,0.455055346,240,255,120,255
132,3LEDid13,15,2.557060222,1.493235228,11.9367672,1,0,0.963828603,13.54824825,0.540124142,0.003742063,6.581061792,5.521093551,0.455055346,240,255,120,255
133,3LEDid13,15,2.508668471,1.722532766,13.74511406,0.272676683,0.727323317,0.245687257,6.265856431,0.176531051,0.006195712,6.581061792,5.521093551,0.455055346,240,255,120,255
134,3LEDid13,15,2.358524763,1.551223651,11.55540078,0.445464663,0.554535337,0.382025598,10.88939684,0.28993992,0.00666633,6.581061792,5.521093551,0.455055346,240,255,120,255
135,3LEDid13,15,2.041711633,1.470998417,9.238743986,0.018085698,0.981914302,0,2.097207142,0.045979403,0.02145164,6.581061792,5.521093551,0.455055346,240,255,120,255
136,3LEDid13,15,1.969759328,1.146246177,7.133183982,0.808569839,0.191430161,0.64524207,25.29031555,0.887615516,0.008613091,6.581061792,5.521093551,0.455055346,240,255,120,255
137,3LEDid13,15,2.127434014,1.296017272,8.704424052,1,0,0.954368392,16.7577489,1.018650501,0.004621008,6.581061792,5.521093551,0.455055346,240,255,120,255
138,3LEDid13,15,2.878074106,1.831543968,16.66784994,0.981914302,0.018085698,0.973010573,14.83730091,0.938829217,0.004164088,6.581061792,5.521093551,0.455055346,240,255,120,255
139,3LEDid13,15,2.335228282,1.557617171,11.40814409,1,0,1,9.394051272,0.958518429,0.002593223,6.581061792,5.521093551,0.455055346,240,255,120,255
140,3LEDid25,15,3.278068237,1.872275413,19.53283364,1,0,0.972724743,17.39675886,0.452484775,0.004789657,6.581061792,5.521093551,0.455055346,240,255,120,255
141,3LEDid25,15,2.354470737,1.163528423,8.625232532,0.981909268,0.018090732,0.918452547,9.526348751,0.832258562,0.002675443,6.581061792,5.521093551,0.455055346,240,255,120,255
142,3LEDid25,15,2.235002959,1.354019281,10.00542471,0.008906207,0.991093793,0,2.157139365,0.042357829,0.033705303,6.581061792,5.521093551,0.455055346,240,255,120,255
143,3LEDid25,15,2.618117784,1.185256405,9.901828014,0.981909268,0.018090732,0.864180351,25.84683274,0.582607535,0.007257334,6.581061792,5.521093551,0.455055346,240,255,120,255
144,3LEDid25,15,2.668229938,1.471777046,12.48366391,1,0,1,7.678507837,0.754298949,0.002116761,6.581061792,5.521093551,0.455055346,240,255,120,255
145,3LEDid16,16,3.274864897,1.684564096,17.20873752,1,0,1,13.16608563,0.216843019,0.003633966,5.48282383,2.640469824,0.006984783,120,255,60,0
146,3LEDid16,16,2.242294596,1.173962375,8.284507544,0.981914302,0.018085698,0.981914302,9.68512739,0.208404278,0.002721427,5.48282383,2.640469824,0.006984783,120,255,60,0
147,3LEDid16,16,2.159362345,1.054580568,7.15285284,0.981914302,0.018085698,0.927378965,13.37334982,0.215405178,0.003755204,5.48282383,2.640469824,0.006984783,120,255,60,0
148,3LEDid16,16,3.112818539,1.85606481,18.12782951,1,0,1,6.256187574,0.211678681,0.001722713,5.48282383,2.640469824,0.006984783,120,255,60,0
149,3LEDid16,16,2.526334409,1.587450559,12.71504441,1,0,0.973010573,15.95247106,2.184709313,0.004400924,5.48282383,2.640469824,0.006984783,120,255,60,0
150,3LEDid16,16,3.119000895,1.414996817,13.86128708,1,0,0.927100723,10.82432656,0.190704077,0.002984069,5.48282383,2.640469824,0.006984783,120,255,60,0
151,3LEDid16,16,3.601912005,1.627680772,18.42267265,1,0,1,4.335356676,0.055834187,0.001197044,5.48282383,2.640469824,0.006984783,120,255,60,0
152,3LEDid16,16,3.465460609,2.235595366,24.34573175,1,0,0.945464663,17.3749291,0.383067438,0.004795015,5.48282383,2.640469824,0.006984783,120,255,60,0
153,3LEDid16,16,2.414330809,1.350353989,10.47853802,0.427100723,0.572899277,0.381747357,11.06819471,0.226725221,0.007070987,5.48282383,2.640469824,0.006984783,120,255,60,0
154,3LEDid16,16,3.583659629,2.044515152,22.86210792,0.963550362,0.036449638,0.954368392,8.481195924,0.291750973,0.002425741,5.48282383,2.640469824,0.006984783,120,255,60,0
155,3LEDid16,16,2.56348408,1.413962179,11.40124697,1,0,0.954368392,10.94522405,0.351900806,0.003018185,5.48282383,2.640469824,0.006984783,120,255,60,0
